id,product_affiliate_id,product_code,product_status,product_site_name,product_site_estoque,product_site_ean,product_site_fabricacao,product_site_description,product_site_categories,product_site_tags,product_site_variations,product_site_info,product_site_nutrition,product_site_value,product_site_discount_value,product_site_discount_type,product_sell_by_weight,product_average_weight_value,product_average_weight_type,product_site_related_title,product_site_related_type,product_site_related_code,createdAt,updatedAt
2124,99,2,active,"T.DE MARMITEX N.8",-25,,TERCEIRO,,,"Plásticos,,",,,null,9.99,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,UN,,undefined,null,NULL,NULL
2125,99,3,inactive,"T.DE MARMITEX N.9",-9,,TERCEIRO,,"DESCARTAVEIS,,TAMPAS,,",,,,null,10.99,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,UN,,undefined,null,NULL,NULL
2126,99,4,inactive,"T.P/TRANSPORTE DE MARMITEX ISOPOR",-4,,TERCEIRO,,"DESCARTAVEIS,,TAMPAS,,",,,,null,5.99,"{"produtos":[],"subtracaoProduto":{"valorDescontado":0,"precoFinal":5.99},"porcentagemProduto":{"percentualDescontado":0,"precoFinal":5.99},"subtracao":{"valorDescontado":0,"precoFinal":5.99},"porcentagem":{"percentualDescontado":0,"precoFinal":5.99},"levePague":{"valorDescontado":"leve 0 pague 0","precoFinal":5.99}}",null,"{"compraPorPeso":false,"mostrarPeso":false}",0,UN,,undefined,null,NULL,NULL
2127,99,5,inactive,"PAPEL CARBONO PARA MAQUINA-A 4 PRETO UN-CIS",-10,,TERCEIRO,,"PAPELARIA,,ESCRITORIO,,",,,,null,1.19,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,UN,,undefined,null,NULL,NULL
2128,99,6,inactive,"GRANULADO MACIO C/500GR-MIX",-44,7897011504336,TERCEIRO,,"CONFEITARIA,,ALIMENTICIOS,,COBER. E ACABAM. P/CONFEITARIA,,",,,,null,10.29,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,PT,,undefined,null,NULL,NULL
2129,99,7,inactive,"GRANULADO MACIO C/1KG-MIX",-8,7897011504329,TERCEIRO,NULL,"CONFEITARIA,ALIMENTICIOS,COBER. E ACABAM. P/CONFEITARIA",NULL,NULL,NULL,NULL,14.49,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2130,99,8,inactive,"PAPEL CARBONO PARA LAPIS-A4 AZUL UN-CIS",-5,,TERCEIRO,,"PAPELARIA,,ESCRITORIO,,",,,,null,1.19,null,null,"{"compraPorPeso":false,"mostrarPeso":false}",0,UN,,undefined,null,NULL,NULL
2131,99,9,inactive,"SACOLA SURPRESA BABY DISNEY III C/08UN-REGINA",-1,7891175231503,TERCEIRO,NULL,"FESTA,LEMBRANCINHAS,LEMBRANCINHAS",NULL,NULL,NULL,NULL,18.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2132,99,10,inactive,"PRATO P/BOLO BABY DISNEY III C/08UN-REGINA",-2,7891175231497,TERCEIRO,NULL,"DESCARTAVEIS,PRATOS,PRATOS",NULL,NULL,NULL,NULL,27.79,NULL,NULL,"{"compraPorPeso":false,"mostrarPeso":false}",NULL,PT,NULL,NULL,NULL,NULL,NULL
2133,99,11,inactive,"DESINFETANTE CASA LIMPA 5 LITROS - VALENCIA",9,7898468460008,TERCEIRO,,"HIGIENE E LIMPEZA,,PRODUTOS DE LIMPEZA,,",,,,"[{"titulo":"Carboidratos","quantidade":"300g"},{"titulo":"","quantidade":"0"}]",13.99,"{"subtracao":{"origem":"Promoção preço total","tipo":"subtracao","precoProduto":13.99,"valorDescontado":"1,1","precoFinal":12.89},"percentual":{},"levePague":{"origem":"Promoção compre X pague Y","tipo":"levePague","precoProduto":13.99,"valorDescontado":"leve 3 pague 2","precoFinal":9.326666666666666},"subtracaoProduto":{},"porcentagemProduto":{},"produtos":[]}","null,Promoção preço total","{"compraPorPeso":false,"mostrarPeso":false}",300,UN,,undefined,null,NULL,NULL
